Site,Month,Day,Hour,Value,Duration
GZ,1,8,5,43,Valid
GZ,1,8,6,42,Valid
GZ,1,8,7,43,Valid
GZ,1,8,8,47,Valid
GZ,1,8,9,52,Valid
GZ,1,8,10,55,Valid
GZ,1,8,11,59,Valid
GZ,1,8,12,59,Valid
GZ,1,8,13,57,Valid
GZ,1,8,14,50,Valid
GZ,1,8,15,52,Valid
GZ,1,8,16,54,Valid
GZ,1,8,17,54,Valid
GZ,1,8,18,62,Valid
GZ,1,8,19,71,Valid
GZ,1,8,20,-999,Missing
GZ,1,8,21,-999,Missing
GZ,1,8,22,-999,Missing
GZ,1,8,23,60,Valid
GZ,1,9,0,55,Valid
GZ,1,9,1,51,Valid
GZ,1,9,2,51,Valid
GZ,1,9,3,53,Valid
GZ,1,9,4,51,Valid
GZ,1,9,5,54,Valid
GZ,1,9,6,57,Valid
GZ,1,9,7,54,Valid
GZ,1,9,8,59,Valid
GZ,1,9,9,53,Valid
GZ,1,9,10,57,Valid
GZ,1,9,11,61,Valid
GZ,1,9,12,68,Valid
GZ,1,9,13,68,Valid
GZ,1,9,14,65,Valid
GZ,1,9,15,67,Valid
GZ,1,9,16,63,Valid
GZ,1,9,17,64,Valid
GZ,1,9,18,68,Valid
GZ,1,9,19,73,Valid
GZ,1,9,20,69,Valid
GZ,1,9,21,72,Valid
GZ,1,9,22,70,Valid
GZ,1,9,23,73,Valid
GZ,1,10,0,75,Valid
GZ,1,10,1,73,Valid
GZ,1,10,2,71,Valid
GZ,1,10,3,62,Valid
GZ,1,10,4,65,Valid
GZ,1,10,5,57,Valid
GZ,1,10,6,56,Valid
GZ,1,10,7,55,Valid
GZ,1,10,8,57,Valid
GZ,1,10,9,58,Valid
GZ,1,10,10,56,Valid
GZ,1,10,11,47,Valid
GZ,1,10,12,48,Valid
GZ,1,10,13,48,Valid
GZ,1,10,14,49,Valid
GZ,1,10,15,57,Valid
GZ,1,10,16,56,Valid
GZ,1,10,17,53,Valid
GZ,1,10,18,61,Valid
GZ,1,10,19,71,Valid
GZ,1,10,20,68,Valid
GZ,1,10,21,67,Valid
GZ,1,10,22,81,Valid
GZ,1,10,23,75,Valid
GZ,1,11,0,69,Valid
GZ,1,11,1,73,Valid
GZ,1,11,2,63,Valid
GZ,1,11,3,53,Valid
GZ,1,11,4,60,Valid
GZ,1,11,5,53,Valid
GZ,1,11,6,54,Valid
GZ,1,11,7,56,Valid
GZ,1,11,8,48,Valid
GZ,1,11,9,50,Valid
GZ,1,11,10,52,Valid
GZ,1,11,11,53,Valid
GZ,1,11,12,53,Valid
GZ,1,11,13,59,Valid
GZ,1,11,14,57,Valid
GZ,1,11,15,57,Valid
GZ,1,11,16,56,Valid
GZ,1,11,17,60,Valid
GZ,1,11,18,63,Valid
GZ,1,11,19,64,Valid
GZ,1,11,20,66,Valid
GZ,1,11,21,70,Valid
GZ,1,11,22,71,Valid
GZ,1,11,23,70,Valid
GZ,1,12,0,62,Valid
GZ,1,12,1,72,Valid
GZ,1,12,2,67,Valid
GZ,1,12,3,57,Valid
GZ,1,12,4,54,Valid
GZ,1,12,5,49,Valid
GZ,1,12,6,46,Valid
GZ,1,12,7,42,Valid
GZ,1,12,8,33,Valid
GZ,1,12,9,34,Valid
GZ,1,12,10,27,Valid
GZ,1,12,11,17,Valid
GZ,1,12,12,19,Valid
GZ,1,12,13,13,Valid
GZ,1,12,14,13,Valid
GZ,1,12,15,12,Valid
GZ,1,12,16,12,Valid
GZ,1,12,17,16,Valid
GZ,1,12,18,14,Valid
GZ,1,12,19,18,Valid
GZ,1,12,20,22,Valid
GZ,1,12,21,23,Valid
GZ,1,12,22,16,Valid
GZ,1,12,23,17,Valid
GZ,1,13,0,8,Valid
GZ,1,13,1,8,Valid
GZ,1,13,2,10,Valid
GZ,1,13,3,13,Valid
GZ,1,13,4,12,Valid
GZ,1,13,5,11,Valid
GZ,1,13,6,12,Valid
GZ,1,13,7,11,Valid
GZ,1,13,8,14,Valid
GZ,1,13,9,18,Valid
GZ,1,13,10,18,Valid
GZ,1,13,11,17,Valid
