Site,Month,Day,Hour,Value,Duration
GZ,2,6,4,104,Valid
GZ,2,6,5,106,Valid
GZ,2,6,6,-999,Missing
GZ,2,6,7,-999,Missing
GZ,2,6,8,-999,Missing
GZ,2,6,9,99,Valid
GZ,2,6,10,100,Valid
GZ,2,6,11,93,Valid
GZ,2,6,12,94,Valid
GZ,2,6,13,83,Valid
GZ,2,6,14,85,Valid
GZ,2,6,15,90,Valid
GZ,2,6,16,95,Valid
GZ,2,6,17,99,Valid
GZ,2,6,18,101,Valid
GZ,2,6,19,116,Valid
GZ,2,6,20,-999,Missing
GZ,2,6,21,-999,Missing
GZ,2,6,22,-999,Missing
GZ,2,6,23,115,Valid
GZ,2,7,0,123,Valid
GZ,2,7,1,124,Valid
GZ,2,7,2,128,Valid
GZ,2,7,3,126,Valid
GZ,2,7,4,121,Valid
GZ,2,7,5,117,Valid
GZ,2,7,6,111,Valid
GZ,2,7,7,103,Valid
GZ,2,7,8,96,Valid
GZ,2,7,9,103,Valid
GZ,2,7,10,107,Valid
GZ,2,7,11,114,Valid
GZ,2,7,12,114,Valid
GZ,2,7,13,122,Valid
GZ,2,7,14,113,Valid
GZ,2,7,15,109,Valid
GZ,2,7,16,96,Valid
GZ,2,7,17,90,Valid
GZ,2,7,18,103,Valid
GZ,2,7,19,107,Valid
GZ,2,7,20,108,Valid
GZ,2,7,21,109,Valid
GZ,2,7,22,113,Valid
GZ,2,7,23,119,Valid
GZ,2,8,0,120,Valid
GZ,2,8,1,102,Valid
GZ,2,8,2,101,Valid
GZ,2,8,3,95,Valid
GZ,2,8,4,91,Valid
GZ,2,8,5,87,Valid
GZ,2,8,6,84,Valid
GZ,2,8,7,80,Valid
GZ,2,8,8,81,Valid
GZ,2,8,9,65,Valid
GZ,2,8,10,61,Valid
GZ,2,8,11,58,Valid
GZ,2,8,12,-999,Missing
GZ,2,8,13,-999,Missing
GZ,2,8,14,-999,Missing
GZ,2,8,15,55,Valid
GZ,2,8,16,53,Valid
GZ,2,8,17,54,Valid
GZ,2,8,18,55,Valid
GZ,2,8,19,69,Valid
GZ,2,8,20,67,Valid
GZ,2,8,21,66,Valid
GZ,2,8,22,60,Valid
GZ,2,8,23,57,Valid
GZ,2,9,0,54,Valid
GZ,2,9,1,62,Valid
GZ,2,9,2,65,Valid
GZ,2,9,3,69,Valid
GZ,2,9,4,67,Valid
GZ,2,9,5,72,Valid
GZ,2,9,6,78,Valid
GZ,2,9,7,72,Valid
GZ,2,9,8,75,Valid
GZ,2,9,9,79,Valid
GZ,2,9,10,79,Valid
GZ,2,9,11,76,Valid
GZ,2,9,12,69,Valid
GZ,2,9,13,74,Valid
GZ,2,9,14,83,Valid
GZ,2,9,15,83,Valid
GZ,2,9,16,81,Valid
GZ,2,9,17,81,Valid
GZ,2,9,18,94,Valid
GZ,2,9,19,89,Valid
GZ,2,9,20,98,Valid
GZ,2,9,21,95,Valid
GZ,2,9,22,99,Valid
GZ,2,9,23,99,Valid
GZ,2,10,0,97,Valid
GZ,2,10,1,92,Valid
GZ,2,10,2,95,Valid
GZ,2,10,3,95,Valid
GZ,2,10,4,111,Valid
GZ,2,10,5,119,Valid
GZ,2,10,6,120,Valid
GZ,2,10,7,119,Valid
GZ,2,10,8,108,Valid
GZ,2,10,9,103,Valid
GZ,2,10,10,109,Valid
GZ,2,10,11,112,Valid
GZ,2,10,12,106,Valid
GZ,2,10,13,111,Valid
GZ,2,10,14,113,Valid
GZ,2,10,15,112,Valid
GZ,2,10,16,110,Valid
GZ,2,10,17,110,Valid
GZ,2,10,18,116,Valid
GZ,2,10,19,128,Valid
GZ,2,10,20,128,Valid
GZ,2,10,21,131,Valid
GZ,2,10,22,137,Valid
GZ,2,10,23,110,Valid
GZ,2,11,0,115,Valid
GZ,2,11,1,105,Valid
GZ,2,11,2,110,Valid
GZ,2,11,3,109,Valid
GZ,2,11,4,109,Valid
GZ,2,11,5,112,Valid
GZ,2,11,6,112,Valid
GZ,2,11,7,108,Valid
GZ,2,11,8,120,Valid
GZ,2,11,9,128,Valid
GZ,2,11,10,133,Valid
GZ,2,11,11,147,Valid
GZ,2,11,12,154,Valid
GZ,2,11,13,153,Valid
GZ,2,11,14,140,Valid
GZ,2,11,15,136,Valid
GZ,2,11,16,127,Valid
GZ,2,11,17,132,Valid
GZ,2,11,18,143,Valid
GZ,2,11,19,167,Valid
GZ,2,11,20,172,Valid
GZ,2,11,21,177,Valid
GZ,2,11,22,184,Valid
GZ,2,11,23,192,Valid
GZ,2,12,0,190,Valid
GZ,2,12,1,191,Valid
GZ,2,12,2,182,Valid
GZ,2,12,3,154,Valid
GZ,2,12,4,142,Valid
GZ,2,12,5,132,Valid
GZ,2,12,6,135,Valid
GZ,2,12,7,143,Valid
GZ,2,12,8,148,Valid
GZ,2,12,9,140,Valid
GZ,2,12,10,132,Valid
GZ,2,12,11,122,Valid
GZ,2,12,12,133,Valid
GZ,2,12,13,109,Valid
GZ,2,12,14,76,Valid
GZ,2,12,15,62,Valid
GZ,2,12,16,59,Valid
GZ,2,12,17,63,Valid
GZ,2,12,18,74,Valid
GZ,2,12,19,90,Valid
GZ,2,12,20,107,Valid
GZ,2,12,21,141,Valid
GZ,2,12,22,85,Valid
GZ,2,12,23,76,Valid
GZ,2,13,0,81,Valid
GZ,2,13,1,73,Valid
GZ,2,13,2,69,Valid
GZ,2,13,3,91,Valid
GZ,2,13,4,101,Valid
GZ,2,13,5,106,Valid
GZ,2,13,6,108,Valid
GZ,2,13,7,106,Valid
GZ,2,13,8,92,Valid
GZ,2,13,9,83,Valid
GZ,2,13,10,79,Valid
GZ,2,13,11,70,Valid
GZ,2,13,12,75,Valid
GZ,2,13,13,67,Valid
GZ,2,13,14,68,Valid
GZ,2,13,15,62,Valid
GZ,2,13,16,56,Valid
GZ,2,13,17,53,Valid
GZ,2,13,18,64,Valid
GZ,2,13,19,59,Valid
GZ,2,13,20,65,Valid
GZ,2,13,21,84,Valid
GZ,2,13,22,70,Valid
GZ,2,13,23,65,Valid
GZ,2,14,0,63,Valid
GZ,2,14,1,66,Valid
GZ,2,14,2,64,Valid
GZ,2,14,3,69,Valid
GZ,2,14,4,78,Valid
GZ,2,14,5,77,Valid
GZ,2,14,6,80,Valid
GZ,2,14,7,73,Valid
GZ,2,14,8,80,Valid
GZ,2,14,9,80,Valid
GZ,2,14,10,78,Valid
GZ,2,14,11,65,Valid
GZ,2,14,12,60,Valid
GZ,2,14,13,63,Valid
GZ,2,14,14,58,Valid
GZ,2,14,15,59,Valid
GZ,2,14,16,62,Valid
GZ,2,14,17,59,Valid
GZ,2,14,18,60,Valid
GZ,2,14,19,76,Valid
GZ,2,14,20,99,Valid
GZ,2,14,21,103,Valid
GZ,2,14,22,100,Valid
GZ,2,14,23,116,Valid
GZ,2,15,0,122,Valid
GZ,2,15,1,116,Valid
GZ,2,15,2,117,Valid
GZ,2,15,3,115,Valid
GZ,2,15,4,118,Valid
GZ,2,15,5,126,Valid
GZ,2,15,6,115,Valid
GZ,2,15,7,112,Valid
GZ,2,15,8,107,Valid
GZ,2,15,9,109,Valid
GZ,2,15,10,112,Valid
GZ,2,15,11,103,Valid
GZ,2,15,12,118,Valid
GZ,2,15,13,121,Valid
GZ,2,15,14,102,Valid
GZ,2,15,15,83,Valid
GZ,2,15,16,94,Valid
GZ,2,15,17,93,Valid
GZ,2,15,18,96,Valid
GZ,2,15,19,94,Valid
GZ,2,15,20,105,Valid
GZ,2,15,21,103,Valid
GZ,2,15,22,100,Valid
GZ,2,15,23,101,Valid
GZ,2,16,0,108,Valid
GZ,2,16,1,110,Valid
GZ,2,16,2,105,Valid
GZ,2,16,3,102,Valid
GZ,2,16,4,102,Valid
GZ,2,16,5,96,Valid
GZ,2,16,6,85,Valid
GZ,2,16,7,94,Valid
GZ,2,16,8,81,Valid
GZ,2,16,9,62,Valid
GZ,2,16,10,51,Valid
GZ,2,16,11,56,Valid
GZ,2,16,12,57,Valid
GZ,2,16,13,61,Valid
GZ,2,16,14,66,Valid
GZ,2,16,15,66,Valid
GZ,2,16,16,69,Valid
GZ,2,16,17,68,Valid
GZ,2,16,18,67,Valid
GZ,2,16,19,47,Valid
GZ,2,16,20,39,Valid
GZ,2,16,21,38,Valid
GZ,2,16,22,43,Valid
GZ,2,16,23,42,Valid
GZ,2,17,0,45,Valid
GZ,2,17,1,47,Valid
GZ,2,17,2,43,Valid
GZ,2,17,3,45,Valid
GZ,2,17,4,39,Valid
GZ,2,17,5,40,Valid
GZ,2,17,6,41,Valid
GZ,2,17,7,37,Valid
GZ,2,17,8,45,Valid
GZ,2,17,9,47,Valid
GZ,2,17,10,53,Valid
GZ,2,17,11,48,Valid
GZ,2,17,12,53,Valid
GZ,2,17,13,54,Valid
GZ,2,17,14,40,Valid
GZ,2,17,15,38,Valid
GZ,2,17,16,47,Valid
GZ,2,17,17,45,Valid
GZ,2,17,18,73,Valid
GZ,2,17,19,88,Valid
GZ,2,17,20,96,Valid
GZ,2,17,21,88,Valid
GZ,2,17,22,64,Valid
GZ,2,17,23,63,Valid
GZ,2,18,0,61,Valid
GZ,2,18,1,65,Valid
GZ,2,18,2,67,Valid
GZ,2,18,3,72,Valid
GZ,2,18,4,73,Valid
GZ,2,18,5,81,Valid
GZ,2,18,6,85,Valid
GZ,2,18,7,78,Valid
GZ,2,18,8,72,Valid
GZ,2,18,9,69,Valid
GZ,2,18,10,69,Valid
GZ,2,18,11,72,Valid
GZ,2,18,12,67,Valid
GZ,2,18,13,55,Valid
GZ,2,18,14,48,Valid
GZ,2,18,15,50,Valid
GZ,2,18,16,54,Valid
GZ,2,18,17,56,Valid
GZ,2,18,18,63,Valid
GZ,2,18,19,87,Valid
GZ,2,18,20,78,Valid
GZ,2,18,21,76,Valid
GZ,2,18,22,80,Valid
GZ,2,18,23,74,Valid
GZ,2,19,0,85,Valid
GZ,2,19,1,130,Valid
GZ,2,19,2,108,Valid
GZ,2,19,3,98,Valid
GZ,2,19,4,106,Valid
GZ,2,19,5,102,Valid
GZ,2,19,6,92,Valid
GZ,2,19,7,79,Valid
GZ,2,19,8,82,Valid
GZ,2,19,9,70,Valid
GZ,2,19,10,73,Valid
GZ,2,19,11,67,Valid
GZ,2,19,12,66,Valid
GZ,2,19,13,61,Valid
GZ,2,19,14,59,Valid
GZ,2,19,15,60,Valid
GZ,2,19,16,51,Valid
GZ,2,19,17,54,Valid
GZ,2,19,18,51,Valid
GZ,2,19,19,39,Valid
GZ,2,19,20,49,Valid
GZ,2,19,21,48,Valid
GZ,2,19,22,49,Valid
GZ,2,19,23,60,Valid
GZ,2,20,0,58,Valid
GZ,2,20,1,57,Valid
GZ,2,20,2,59,Valid
GZ,2,20,3,47,Valid
GZ,2,20,4,53,Valid
GZ,2,20,5,53,Valid
GZ,2,20,6,35,Valid
GZ,2,20,7,30,Valid
GZ,2,20,8,33,Valid
GZ,2,20,9,34,Valid
GZ,2,20,10,45,Valid
GZ,2,20,11,46,Valid
GZ,2,20,12,47,Valid
GZ,2,20,13,45,Valid
GZ,2,20,14,38,Valid
GZ,2,20,15,34,Valid
GZ,2,20,16,38,Valid
GZ,2,20,17,39,Valid
GZ,2,20,18,39,Valid
GZ,2,20,19,36,Valid
GZ,2,20,20,31,Valid
GZ,2,20,21,38,Valid
GZ,2,20,22,34,Valid
GZ,2,20,23,29,Valid
GZ,2,21,0,31,Valid
GZ,2,21,1,36,Valid
GZ,2,21,2,35,Valid
GZ,2,21,3,37,Valid
GZ,2,21,4,39,Valid
GZ,2,21,5,44,Valid
GZ,2,21,6,45,Valid
GZ,2,21,7,41,Valid
GZ,2,21,8,45,Valid
GZ,2,21,9,48,Valid
GZ,2,21,10,53,Valid
GZ,2,21,11,50,Valid
GZ,2,21,12,51,Valid
GZ,2,21,13,48,Valid
GZ,2,21,14,50,Valid
GZ,2,21,15,44,Valid
GZ,2,21,16,41,Valid
GZ,2,21,17,39,Valid
GZ,2,21,18,47,Valid
GZ,2,21,19,43,Valid
GZ,2,21,20,35,Valid
GZ,2,21,21,33,Valid
GZ,2,21,22,48,Valid
GZ,2,21,23,50,Valid
GZ,2,22,0,48,Valid
GZ,2,22,1,45,Valid
GZ,2,22,2,47,Valid
GZ,2,22,3,39,Valid
GZ,2,22,4,43,Valid
GZ,2,22,5,47,Valid
GZ,2,22,6,45,Valid
GZ,2,22,7,46,Valid
GZ,2,22,8,43,Valid
GZ,2,22,9,57,Valid
GZ,2,22,10,51,Valid
GZ,2,22,11,54,Valid
GZ,2,22,12,64,Valid
GZ,2,22,13,56,Valid
GZ,2,22,14,50,Valid
GZ,2,22,15,52,Valid
GZ,2,22,16,51,Valid
GZ,2,22,17,40,Valid
GZ,2,22,18,21,Valid
GZ,2,22,19,21,Valid
GZ,2,22,20,30,Valid
GZ,2,22,21,30,Valid
GZ,2,22,22,27,Valid
GZ,2,22,23,30,Valid
GZ,2,23,0,23,Valid
GZ,2,23,1,15,Valid
GZ,2,23,2,16,Valid
GZ,2,23,3,26,Valid
GZ,2,23,4,27,Valid
GZ,2,23,5,23,Valid
GZ,2,23,6,25,Valid
GZ,2,23,7,27,Valid
GZ,2,23,8,36,Valid
GZ,2,23,9,27,Valid
GZ,2,23,10,28,Valid
GZ,2,23,11,-999,Missing
GZ,2,23,12,27,Valid
GZ,2,23,13,26,Valid
GZ,2,23,14,36,Valid
GZ,2,23,15,31,Valid
GZ,2,23,16,24,Valid
GZ,2,23,17,24,Valid
GZ,2,23,18,25,Valid
GZ,2,23,19,26,Valid
GZ,2,23,20,23,Valid
GZ,2,23,21,26,Valid
GZ,2,23,22,32,Valid
GZ,2,23,23,34,Valid
GZ,2,24,0,28,Valid
GZ,2,24,1,32,Valid
GZ,2,24,2,33,Valid
GZ,2,24,3,38,Valid
GZ,2,24,4,45,Valid
GZ,2,24,5,47,Valid
GZ,2,24,6,41,Valid
GZ,2,24,7,44,Valid
GZ,2,24,8,45,Valid
GZ,2,24,9,46,Valid
GZ,2,24,10,46,Valid
GZ,2,24,11,40,Valid
GZ,2,24,12,33,Valid
GZ,2,24,13,28,Valid
GZ,2,24,14,30,Valid
GZ,2,24,15,23,Valid
GZ,2,24,16,22,Valid
GZ,2,24,17,23,Valid
GZ,2,24,18,25,Valid
GZ,2,24,19,29,Valid
GZ,2,24,20,33,Valid
GZ,2,24,21,38,Valid
GZ,2,24,22,31,Valid
GZ,2,24,23,41,Valid
GZ,2,25,0,34,Valid
GZ,2,25,1,40,Valid
GZ,2,25,2,38,Valid
GZ,2,25,3,37,Valid
GZ,2,25,4,32,Valid
GZ,2,25,5,38,Valid
GZ,2,25,6,26,Valid
GZ,2,25,7,41,Valid
GZ,2,25,8,38,Valid
GZ,2,25,9,37,Valid
GZ,2,25,10,25,Valid
GZ,2,25,11,19,Valid
GZ,2,25,12,13,Valid
GZ,2,25,13,17,Valid
GZ,2,25,14,17,Valid
GZ,2,25,15,20,Valid
GZ,2,25,16,23,Valid
GZ,2,25,17,26,Valid
GZ,2,25,18,25,Valid
GZ,2,25,19,30,Valid
GZ,2,25,20,28,Valid
GZ,2,25,21,29,Valid
GZ,2,25,22,28,Valid
GZ,2,25,23,34,Valid
GZ,2,26,0,34,Valid
GZ,2,26,1,28,Valid
GZ,2,26,2,31,Valid
GZ,2,26,3,35,Valid
GZ,2,26,4,40,Valid
GZ,2,26,5,43,Valid
GZ,2,26,6,43,Valid
GZ,2,26,7,42,Valid
GZ,2,26,8,43,Valid
GZ,2,26,9,37,Valid
GZ,2,26,10,-999,Missing
GZ,2,26,11,-999,Missing
GZ,2,26,12,20,Valid
GZ,2,26,13,19,Valid
GZ,2,26,14,17,Valid
GZ,2,26,15,13,Valid
GZ,2,26,16,20,Valid
GZ,2,26,17,20,Valid
GZ,2,26,18,20,Valid
GZ,2,26,19,17,Valid
GZ,2,26,20,21,Valid
GZ,2,26,21,22,Valid
GZ,2,26,22,25,Valid
GZ,2,26,23,20,Valid
GZ,2,27,0,21,Valid
GZ,2,27,1,23,Valid
GZ,2,27,2,31,Valid
GZ,2,27,3,35,Valid
GZ,2,27,4,40,Valid
GZ,2,27,5,27,Valid
GZ,2,27,6,26,Valid
GZ,2,27,7,27,Valid
GZ,2,27,8,28,Valid
GZ,2,27,9,22,Valid
GZ,2,27,10,13,Valid
GZ,2,27,11,15,Valid
GZ,2,27,12,14,Valid
GZ,2,27,13,17,Valid
GZ,2,27,14,17,Valid
GZ,2,27,15,15,Valid
GZ,2,27,16,18,Valid
GZ,2,27,17,16,Valid
GZ,2,27,18,18,Valid
GZ,2,27,19,17,Valid
GZ,2,27,20,17,Valid
GZ,2,27,21,22,Valid
GZ,2,27,22,23,Valid
GZ,2,27,23,19,Valid
GZ,2,28,0,14,Valid
GZ,2,28,1,17,Valid
GZ,2,28,2,16,Valid
GZ,2,28,3,20,Valid
GZ,2,28,4,17,Valid
GZ,2,28,5,18,Valid
GZ,2,28,6,17,Valid
GZ,2,28,7,19,Valid
GZ,2,28,8,19,Valid
GZ,2,28,9,24,Valid
GZ,2,28,10,27,Valid
GZ,2,28,11,34,Valid
GZ,2,28,12,30,Valid
GZ,2,28,13,37,Valid
GZ,2,28,14,35,Valid
GZ,2,28,15,41,Valid
GZ,2,28,16,32,Valid
GZ,2,28,17,23,Valid
GZ,2,28,18,21,Valid
GZ,2,28,19,26,Valid
GZ,2,28,20,33,Valid
GZ,2,28,21,27,Valid
GZ,2,28,22,31,Valid
GZ,2,28,23,6,Valid
GZ,3,1,0,9,Valid
GZ,3,1,1,5,Valid
GZ,3,1,2,1,Valid
GZ,3,1,3,1,Valid
GZ,3,1,4,-999,Missing
GZ,3,1,5,-999,Missing
GZ,3,1,6,-999,Missing
GZ,3,1,7,-999,Missing
GZ,3,1,8,-999,Missing
GZ,3,1,9,7,Valid
GZ,3,1,10,6,Valid
GZ,3,1,11,6,Valid
GZ,3,1,12,11,Valid
GZ,3,1,13,12,Valid
GZ,3,1,14,12,Valid
GZ,3,1,15,19,Valid
GZ,3,1,16,17,Valid
GZ,3,1,17,17,Valid
GZ,3,1,18,23,Valid
GZ,3,1,19,23,Valid
GZ,3,1,20,25,Valid
GZ,3,1,21,25,Valid
GZ,3,1,22,23,Valid
GZ,3,1,23,17,Valid
GZ,3,2,0,21,Valid
GZ,3,2,1,17,Valid
GZ,3,2,2,17,Valid
GZ,3,2,3,18,Valid
GZ,3,2,4,22,Valid
GZ,3,2,5,19,Valid
GZ,3,2,6,19,Valid
GZ,3,2,7,16,Valid
GZ,3,2,8,16,Valid
GZ,3,2,9,20,Valid
GZ,3,2,10,26,Valid
GZ,3,2,11,37,Valid
GZ,3,2,12,54,Valid
GZ,3,2,13,58,Valid
GZ,3,2,14,60,Valid
GZ,3,2,15,65,Valid
GZ,3,2,16,68,Valid
GZ,3,2,17,76,Valid
GZ,3,2,18,71,Valid
GZ,3,2,19,72,Valid
GZ,3,2,20,75,Valid
GZ,3,2,21,79,Valid
GZ,3,2,22,76,Valid
GZ,3,2,23,66,Valid
GZ,3,3,0,71,Valid
GZ,3,3,1,68,Valid
GZ,3,3,2,65,Valid
GZ,3,3,3,62,Valid
GZ,3,3,4,59,Valid
GZ,3,3,5,54,Valid
GZ,3,3,6,50,Valid
GZ,3,3,7,51,Valid
GZ,3,3,8,55,Valid
GZ,3,3,9,61,Valid
GZ,3,3,10,64,Valid
GZ,3,3,11,70,Valid
GZ,3,3,12,80,Valid
GZ,3,3,13,88,Valid
GZ,3,3,14,105,Valid
GZ,3,3,15,75,Valid
GZ,3,3,16,8,Valid
GZ,3,3,17,12,Valid
GZ,3,3,18,15,Valid
GZ,3,3,19,12,Valid
GZ,3,3,20,10,Valid
GZ,3,3,21,7,Valid
GZ,3,3,22,6,Valid
GZ,3,3,23,6,Valid
GZ,3,4,0,6,Valid
GZ,3,4,1,6,Valid
GZ,3,4,2,8,Valid
GZ,3,4,3,7,Valid
GZ,3,4,4,6,Valid
GZ,3,4,5,2,Valid
GZ,3,4,6,2,Valid
GZ,3,4,7,6,Valid
GZ,3,4,8,6,Valid
GZ,3,4,9,13,Valid
GZ,3,4,10,12,Valid
GZ,3,4,11,12,Valid
GZ,3,4,12,20,Valid
GZ,3,4,13,24,Valid
GZ,3,4,14,19,Valid
GZ,3,4,15,26,Valid
GZ,3,4,16,29,Valid
GZ,3,4,17,26,Valid
GZ,3,4,18,24,Valid
GZ,3,4,19,28,Valid
GZ,3,4,20,28,Valid
GZ,3,4,21,28,Valid
GZ,3,4,22,28,Valid
GZ,3,4,23,26,Valid
GZ,3,5,0,16,Valid
GZ,3,5,1,21,Valid
GZ,3,5,2,27,Valid
GZ,3,5,3,31,Valid
GZ,3,5,4,26,Valid
GZ,3,5,5,20,Valid
GZ,3,5,6,21,Valid
GZ,3,5,7,16,Valid
GZ,3,5,8,17,Valid
GZ,3,5,9,15,Valid
GZ,3,5,10,19,Valid
GZ,3,5,11,23,Valid
GZ,3,5,12,29,Valid
GZ,3,5,13,28,Valid
GZ,3,5,14,22,Valid
GZ,3,5,15,18,Valid
GZ,3,5,16,18,Valid
GZ,3,5,17,17,Valid
GZ,3,5,18,27,Valid
GZ,3,5,19,43,Valid
GZ,3,5,20,43,Valid
GZ,3,5,21,34,Valid
GZ,3,5,22,22,Valid
GZ,3,5,23,11,Valid
GZ,3,6,0,11,Valid
GZ,3,6,1,7,Valid
GZ,3,6,2,8,Valid
GZ,3,6,3,6,Valid
GZ,3,6,4,8,Valid
GZ,3,6,5,16,Valid
GZ,3,6,6,7,Valid
GZ,3,6,7,12,Valid
GZ,3,6,8,13,Valid
GZ,3,6,9,14,Valid
GZ,3,6,10,17,Valid
GZ,3,6,11,24,Valid
GZ,3,6,12,17,Valid
GZ,3,6,13,18,Valid
GZ,3,6,14,11,Valid
GZ,3,6,15,16,Valid
GZ,3,6,16,21,Valid
GZ,3,6,17,19,Valid
GZ,3,6,18,22,Valid
GZ,3,6,19,27,Valid
GZ,3,6,20,27,Valid
GZ,3,6,21,22,Valid
GZ,3,6,22,23,Valid
GZ,3,6,23,25,Valid
GZ,3,7,0,22,Valid
GZ,3,7,1,19,Valid
GZ,3,7,2,21,Valid
GZ,3,7,3,15,Valid
GZ,3,7,4,20,Valid
GZ,3,7,5,17,Valid
GZ,3,7,6,15,Valid
GZ,3,7,7,18,Valid
GZ,3,7,8,20,Valid
GZ,3,7,9,21,Valid
GZ,3,7,10,24,Valid
GZ,3,7,11,23,Valid
GZ,3,7,12,29,Valid
GZ,3,7,13,35,Valid
GZ,3,7,14,43,Valid
GZ,3,7,15,48,Valid
GZ,3,7,16,54,Valid
GZ,3,7,17,60,Valid
GZ,3,7,18,72,Valid
GZ,3,7,19,80,Valid
GZ,3,7,20,71,Valid
GZ,3,7,21,72,Valid
GZ,3,7,22,66,Valid
GZ,3,7,23,83,Valid
GZ,3,8,0,86,Valid
GZ,3,8,1,88,Valid
GZ,3,8,3,86,Valid
GZ,3,8,3,86,Valid
GZ,3,8,4,87,Valid
GZ,3,8,5,78,Valid
GZ,3,8,6,80,Valid
GZ,3,8,7,76,Valid
GZ,3,8,8,78,Valid
GZ,3,8,9,73,Valid
GZ,3,8,10,64,Valid
GZ,3,8,11,64,Valid
GZ,3,8,12,66,Valid
GZ,3,8,13,61,Valid
GZ,3,8,14,56,Valid
GZ,3,8,15,59,Valid
GZ,3,8,16,168,Valid
GZ,3,8,17,184,Valid
GZ,3,8,18,204,Valid
GZ,3,8,19,218,Valid
GZ,3,8,20,226,Valid
GZ,3,8,21,184,Valid
GZ,3,8,22,190,Valid
GZ,3,8,23,182,Valid
GZ,3,9,0,166,Valid
GZ,3,9,1,160,Valid
GZ,3,9,2,157,Valid
GZ,3,9,3,146,Valid
GZ,3,9,4,144,Valid
GZ,3,9,5,150,Valid
GZ,3,9,6,149,Valid
GZ,3,9,7,139,Valid
GZ,3,9,8,116,Valid
GZ,3,9,9,103,Valid
GZ,3,9,10,101,Valid
GZ,3,9,11,84,Valid
GZ,3,9,12,88,Valid
GZ,3,9,13,77,Valid
GZ,3,9,14,68,Valid
GZ,3,9,15,38,Valid
GZ,3,9,16,46,Valid
GZ,3,9,17,36,Valid
GZ,3,9,18,44,Valid
GZ,3,9,19,43,Valid
GZ,3,9,20,34,Valid
GZ,3,9,21,41,Valid
GZ,3,9,22,45,Valid
GZ,3,9,23,39,Valid
GZ,3,10,0,41,Valid
GZ,3,10,1,51,Valid
GZ,3,10,2,46,Valid
GZ,3,10,3,38,Valid
GZ,3,10,4,38,Valid
GZ,3,10,5,36,Valid
GZ,3,10,6,27,Valid
GZ,3,10,7,16,Valid
GZ,3,10,8,14,Valid
GZ,3,10,9,21,Valid
GZ,3,10,10,26,Valid
GZ,3,10,11,27,Valid
GZ,3,10,12,28,Valid
GZ,3,10,13,50,Valid
GZ,3,10,14,35,Valid
GZ,3,10,15,30,Valid
GZ,3,10,16,31,Valid
GZ,3,10,17,35,Valid
GZ,3,10,18,27,Valid
GZ,3,10,19,29,Valid
GZ,3,10,20,27,Valid
GZ,3,10,21,34,Valid
GZ,3,10,22,29,Valid
GZ,3,10,23,33,Valid
GZ,3,11,0,32,Valid
GZ,3,11,1,29,Valid
GZ,3,11,2,22,Valid
GZ,3,11,3,23,Valid
GZ,3,11,4,24,Valid
GZ,3,11,5,22,Valid
GZ,3,11,6,30,Valid
GZ,3,11,7,35,Valid
GZ,3,11,8,34,Valid
GZ,3,11,9,44,Valid
GZ,3,11,10,48,Valid
GZ,3,11,11,47,Valid
GZ,3,11,12,39,Valid
GZ,3,11,13,28,Valid
GZ,3,11,14,18,Valid
GZ,3,11,15,17,Valid
GZ,3,11,16,17,Valid
GZ,3,11,17,10,Valid
GZ,3,11,18,19,Valid
GZ,3,11,19,24,Valid
GZ,3,11,20,21,Valid
GZ,3,11,21,18,Valid
GZ,3,11,22,17,Valid
GZ,3,11,23,20,Valid
GZ,3,12,0,18,Valid
GZ,3,12,1,10,Valid
GZ,3,12,2,9,Valid
GZ,3,12,3,9,Valid
GZ,3,12,4,12,Valid
GZ,3,12,5,12,Valid
GZ,3,12,6,9,Valid
GZ,3,12,7,8,Valid
GZ,3,12,8,12,Valid
GZ,3,12,9,17,Valid
GZ,3,12,10,12,Valid
GZ,3,12,11,17,Valid
GZ,3,12,12,17,Valid
GZ,3,12,13,25,Valid
GZ,3,12,14,18,Valid
GZ,3,12,15,17,Valid
GZ,3,12,16,12,Valid
GZ,3,12,17,14,Valid
GZ,3,12,18,12,Valid
GZ,3,12,19,27,Valid
GZ,3,12,20,36,Valid
GZ,3,12,21,36,Valid
GZ,3,12,22,39,Valid
GZ,3,12,23,40,Valid
GZ,3,13,0,38,Valid
GZ,3,13,1,46,Valid
GZ,3,13,2,44,Valid
GZ,3,13,3,34,Valid
GZ,3,13,4,34,Valid
GZ,3,13,5,31,Valid
GZ,3,13,6,38,Valid
GZ,3,13,7,37,Valid
GZ,3,13,8,40,Valid
GZ,3,13,9,38,Valid
GZ,3,13,10,39,Valid
GZ,3,13,11,41,Valid
GZ,3,13,12,46,Valid
GZ,3,13,13,49,Valid
GZ,3,13,14,53,Valid
GZ,3,13,15,53,Valid
GZ,3,13,16,61,Valid
GZ,3,13,17,65,Valid
GZ,3,13,18,56,Valid
GZ,3,13,19,48,Valid
GZ,3,13,20,52,Valid
GZ,3,13,21,51,Valid
GZ,3,13,22,50,Valid
GZ,3,13,23,51,Valid
GZ,3,14,0,55,Valid
GZ,3,14,1,48,Valid
GZ,3,14,2,53,Valid
GZ,3,14,3,46,Valid
GZ,3,14,4,42,Valid
GZ,3,14,5,39,Valid
GZ,3,14,6,43,Valid
GZ,3,14,7,40,Valid
GZ,3,14,8,48,Valid
GZ,3,14,9,60,Valid
GZ,3,14,10,69,Valid
GZ,3,14,11,79,Valid
